date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,o3,no2
2020-02-24,9.2,93.88841179,0,-6,23,31,-21,-21,5,124,32,12
2020-02-25,9,93.52980581,0,-10,3,3,-26,-21,7,80,19,14
2020-02-26,7.5,18.70248307,0,-14,-7,-12,-29,-19,8,157,33,12
2020-02-27,6.85,61.82869637,0,-9,-4,-2,-26,-18,7,65,27,17
2020-02-28,8.475,11.96583037,0,-8,-3,24,-22,-17,7,42,36,22
2020-02-29,7,79.98218505,0,-12,-1,-8,-18,-7,5,53,19,22
2020-03-01,,,0,-11,-2,3,-14,-3,3,82,,
2020-03-02,7.25,96.25707234,0,-15,-10,-38,-29,-15,7,,,
2020-03-03,7.7,53.51231707,1,-2,1,21,-20,-14,5,,28,19
2020-03-04,8,27.22160456,15,-4,1,25,-21,-13,5,,34,16
2020-03-05,4,100,6,-14,-3,-23,-27,-15,7,,26,20
2020-03-06,7.7,80.33691592,10,-13,0,4,-25,-15,8,,28,21
2020-03-07,8.5,25.10231893,8,-15,2,26,-17,-8,5,157,33,12
2020-03-08,,,20,-34,5,-2,-25,-8,6,172,37,13
2020-03-09,5.55,93.33584657,3,-31,-2,-19,-42,-24,12,,37,13
2020-03-10,8.6,62.30610241,2,-43,-7,-21,-51,-30,16,59,34,19
2020-03-11,10,89.1836294,40,-50,-14,-19,-56,-35,19,65,36,11
2020-03-12,9,99.50105597,27,-69,-23,-57,-66,-44,24,50,32,9
2020-03-13,9,100,4,-73,-26,-51,-69,-50,28,53,32,18
2020-03-14,8.9,93.43425776,46,-84,-44,-77,-75,-55,26,38,40,6
2020-03-15,,,25,-90,-61,-78,-80,-52,22,70,23,6
2020-03-16,10,40.27469147,66,-73,-35,-58,-73,-56,27,53,33,7
2020-03-17,10.7,47.64554783,50,-75,-38,-56,-73,-59,29,78,36,11
2020-03-18,12.1,48.81252061,51,-77,-42,-61,-75,-60,30,76,38,11
2020-03-19,13.5,37.04666642,0,-77,-41,-65,-76,-61,31,114,43,15
2020-03-20,12.5,66.98043201,221,-79,-37,-71,-76,-62,33,132,45,15
2020-03-21,11.5,56.86866336,59,-86,-51,-82,-79,-59,26,97,34,11
2020-03-22,,,106,-94,-82,-91,-86,-59,24,74,41,7
2020-03-23,4.85,30.17507793,57,-80,-45,-79,-81,-69,33,89,29,5
2020-03-24,5.2,27.29757216,129,-81,-46,-77,-80,-70,34,50,31,9
2020-03-25,4,37.52616022,0,-82,-49,-80,-81,-70,35,61,35,10
2020-03-26,2,57.30675051,34,-83,-49,-80,-82,-73,36,59,32,5
2020-03-27,6,66.62997572,126,-83,-45,-80,-81,-72,38,55,26,5
2020-03-28,11.5,56.24594114,91,-87,-54,-83,-80,-62,27,80,27,8
2020-03-29,,,58,-94,-82,-89,-85,-59,23,112,37,8
2020-03-30,9,78.12792406,25,-82,-47,-79,-80,-71,34,109,39,5
2020-03-31,6.1,49.30659044,37,-90,-42,-77,-79,-71,34,80,35,10
2020-04-01,5.6,34.9617706,61,-90,-40,-75,-78,-70,34,38,31,6
2020-04-02,7,43.46177311,50,-89,-39,-73,-78,-70,35,61,37,8
2020-04-03,10.8,34.48145834,63,-85,-36,-74,-78,-70,37,78,41,8
2020-04-04,13.7,24.66659128,100,-89,-49,-82,-78,-61,27,91,45,11
2020-04-05,,,172,-95,-80,-88,-85,-59,23,91,47,7
2020-04-06,15,32.38395209,141,-82,-38,-73,-77,-67,32,78,46,11
2020-04-07,17,24.5516207,42,-81,-36,-72,-77,-68,33,87,53,11
2020-04-08,16.6,27.16799942,70,-81,-36,-73,-77,-67,33,91,46,11
2020-04-09,15.1,20.4677371,65,-80,-31,-72,-77,-67,33,78,51,8
2020-04-10,16.45,29.25887786,38,-80,-25,-72,-76,-68,35,72,53,11
2020-04-11,16.2,32.2542693,72,-85,-42,-81,-76,-59,26,74,49,7
2020-04-12,,,57,-96,-90,-90,-86,-61,24,63,42,4
2020-04-13,,,67,-96,-95,-83,-90,-91,41,53,50,
2020-04-14,15.05,52.8744333,52,-80,-37,-73,-76,-65,31,59,41,4
2020-04-15,12,48.82081449,40,-80,-37,-73,-76,-64,32,61,37,6
2020-04-16,13.1,50.48009716,173,-79,-35,-72,-75,-64,32,50,45,13
2020-04-17,13.2,76.27642832,116,-79,-33,-71,-75,-64,34,59,41,15
2020-04-18,13,93.71279798,56,-85,-51,-80,-76,-55,26,53,43,10
2020-04-19,,,31,-95,-81,-89,-85,-55,23,57,35,4
2020-04-20,13,96.36441533,32,-81,-53,-81,-80,-63,31,61,33,6
2020-04-21,9,87.38422578,84,-80,-48,-78,-78,-63,32,61,29,6
2020-04-22,14,27.79777925,109,-78,-43,-70,-74,-61,30,59,45,7
2020-04-23,16,35.28939186,26,-77,-39,-69,-74,-61,31,68,48,15
2020-04-24,15,41.69369384,80,-76,-29,-65,-72,-60,32,72,54,17
2020-04-25,,,66,-95,-95,-84,-84,-72,29,72,42,5
2020-04-26,,,8,-92,-65,-87,-81,-50,22,50,41,4
2020-04-27,12,82.22663623,83,-74,-38,-72,-74,-59,28,30,33,9
2020-04-28,12,93.66802689,47,-78,-44,-75,-76,-60,29,30,31,10
2020-04-29,13.3,74.64128948,28,-75,-36,-65,-71,-58,28,38,38,6
2020-04-30,13,87.7742301,71,-72,-26,-68,-71,-58,28,25,34,10
2020-05-01,,,74,-95,-94,-79,-88,-88,44,34,30,6
2020-05-02,16.95,56.72027858,68,-80,-40,-73,-71,-50,24,46,38,6
2020-05-03,,,25,-91,-69,-79,-77,-44,21,34,41,6
2020-05-04,17.15,33.68663864,9,-61,-28,-15,-58,-46,19,34,45,9
2020-05-05,12.85,93.7348693,13,-62,-29,-17,-58,-47,21,53,32,13
2020-05-06,18.05,71.93044505,16,-63,-30,-19,-58,-46,21,34,40,8
2020-05-07,17.65,48.91639619,32,-62,-29,-14,-58,-46,21,50,48,9
2020-05-08,18.95,38.84515804,58,-63,-26,-19,-58,-46,23,61,53,11
2020-05-09,16.7,62.61920874,11,-67,-34,-24,-52,-36,16,55,44,10
2020-05-10,,,7,-79,-59,-52,-62,-27,15,38,45,2
2020-05-11,12.575,93.66802689,2,-62,-36,-47,-62,-45,21,42,29,6
2020-05-12,14,91.35606894,12,-58,-27,-19,-55,-43,20,30,32,6
2020-05-13,15,82.39642194,11,-65,-36,-62,-65,-44,22,34,15,12
2020-05-14,16,82.51723858,14,-58,-25,-16,-55,-43,19,55,39,6
2020-05-15,13.2,93.2415574,10,-60,-25,-26,-57,-43,22,76,35,6
2020-05-16,16,87.05495531,10,-66,-33,-53,-57,-32,17,38,36,3
2020-05-17,,,7,-72,-54,-23,-53,-21,13,55,39,5
2020-05-18,20,71.73531985,4,-42,-22,16,-46,-38,15,59,38,5
2020-05-19,17.2,82.63077002,7,-45,-18,-1,-48,-39,16,55,33,4
2020-05-20,22.5,40.21522433,6,-43,-18,28,-46,-38,15,59,49,5
2020-05-21,20.25,56.32953214,16,-43,-15,19,-45,-38,16,53,63,7
2020-05-22,20,49.82475828,6,-46,-14,21,-45,-37,17,65,57,6
2020-05-23,17,82.68680562,10,-44,-20,-2,-36,-19,9,61,44,10
2020-05-24,,,3,-45,-36,30,-29,-7,5,55,45,5
2020-05-25,20,56.09508186,7,-34,-19,28,-43,-36,13,53,53,8
2020-05-26,21,51.57129698,19,-34,-15,28,-43,-35,13,46,45,5
2020-05-27,19.15,44.74749022,7,-34,-14,26,-43,-34,13,42,49,7
2020-05-28,18.2,51.61132306,14,-34,-14,25,-42,-35,13,46,53,11
2020-05-29,17,71.84269592,8,-36,-11,16,-42,-35,15,42,46,5
2020-05-30,17.35,45.55592014,19,-36,-16,25,-27,-14,6,38,50,6
2020-05-31,,,3,-40,-30,22,-27,-1,5,42,50,5
2020-06-01,19,69.37902662,2,-16,2,74,-35,-49,12,70,57,6
2020-06-02,,,17,-35,-41,129,-48,-75,18,61,45,8
2020-06-03,16.35,88.02103101,0,-34,-13,-7,-40,-33,12,50,42,6
2020-06-04,13.15,91.49113723,1,-35,-12,-36,-44,-35,14,34,37,7
2020-06-05,18.15,64.22351528,17,-26,-10,42,-34,-32,11,34,47,5
2020-06-06,18,80.07146742,3,-27,-15,29,-23,-12,4,25,48,8
2020-06-07,,,1,-39,-29,-29,-38,-4,6,53,35,5
2020-06-08,17.1,84.25746164,2,-32,-22,-25,-44,-33,12,34,27,3
2020-06-09,15,82.34394899,2,-29,-17,-19,-43,-33,12,38,37,4
2020-06-10,14,87.10916818,7,-23,-12,10,-38,-31,10,30,35,7
2020-06-11,15,85.17104767,5,-25,-14,-22,-43,-32,12,25,37,6
2020-06-12,18,69.87823494,5,-26,-12,-2,-40,-32,11,53,47,6
2020-06-13,17.55,81.27501425,17,-30,-17,-14,-32,-11,6,30,46,6
2020-06-14,,,6,-20,-24,59,-12,6,-1,30,49,7
2020-06-15,19.8,77.80790411,1,-19,-16,34,-34,-30,8,21,48,8
2020-06-16,20.35,76.33926555,8,-21,-13,11,-37,-30,9,55,44,5
2020-06-17,18,88.18011032,15,-22,-13,-2,-38,-30,10,42,46,3
2020-06-18,17,86.96000194,5,-18,-11,17,-35,-30,9,46,37,6
2020-06-19,18,81.28166388,2,-16,-8,60,-29,-30,7,21,43,6
2020-06-20,21,69.04931276,5,-20,-13,55,-17,-7,0,34,55,6
2020-06-21,,,12,-22,-26,56,-12,6,-4,34,49,9
2020-06-22,25,40.19895133,0,-17,-14,47,-32,-31,6,50,58,12
2020-06-23,24.7,38.33744999,0,-14,-9,57,-29,-30,6,38,79,11
2020-06-24,,,3,-13,-13,62,-37,-35,7,55,94,11
2020-06-25,22,66.27694743,2,-16,-9,37,-31,-29,7,57,70,11
2020-06-26,23,61.5918019,0,-19,-9,46,-29,-30,7,50,69,8
2020-06-27,23.7,44.0875752,0,-23,-16,25,-21,-9,1,61,57,11
2020-06-28,,,0,-22,-24,44,-12,9,-4,53,55,9
2020-06-29,23,84.62824009,0,-15,-12,45,-31,-29,5,55,44,6
2020-06-30,22.05,80.72945246,0,-12,-8,48,-30,-28,6,59,54,9
2020-07-01,21,83.06989225,3,-14,-8,18,-33,-27,6,68,48,7
2020-07-02,22.85,75.9916464,0,-14,-9,35,-29,-28,6,61,57,12
2020-07-03,22.9,69.83817364,0,-22,-13,10,-33,-29,7,55,57,9
2020-07-04,22.25,60.55128899,0,-18,-12,52,-16,-8,-2,59,44,11
2020-07-05,,,3,-21,-23,49,-12,6,-6,30,56,12
2020-07-06,25,61.66184098,1,-15,-12,45,-30,-30,4,46,69,10
2020-07-07,23.8,39.07651102,1,-11,-7,50,-29,-29,4,55,46,4
2020-07-08,24,49.54799242,3,-13,-10,50,-30,-27,4,55,57,10
2020-07-09,25,54.02590358,3,-13,-10,50,-28,-27,4,46,82,12
2020-07-10,23.675,62.47667001,2,-18,-11,37,-29,-29,5,63,84,14
2020-07-11,21,83.44177953,2,-20,-14,39,-18,-7,-1,61,51,7
2020-07-12,,,0,-20,-21,41,-11,8,-5,57,45,5
2020-07-13,22.8,51.36906532,0,-14,-11,44,-30,-29,4,63,48,8
2020-07-14,22,59.40622472,0,-12,-10,49,-30,-28,4,53,54,11
2020-07-15,18.75,85.08310757,3,-12,-10,32,-31,-26,5,50,65,13
2020-07-16,22,78.21542815,0,-10,-10,52,-28,-27,3,57,61,14
2020-07-17,22.5,73.58714894,0,-15,-11,52,-28,-28,4,55,62,10
2020-07-18,21,78.08180376,0,-17,-14,46,-16,-7,-2,68,48,7
2020-07-19,,,0,-20,-23,47,-9,10,-6,34,70,9
2020-07-20,22.5,79.61071398,0,-14,-14,46,-30,-30,3,38,55,11
2020-07-21,23,80.10158362,1,-12,-11,49,-30,-29,4,50,56,11
2020-07-22,23.85,80.45395049,7,,,,,,,63,66,10
2020-07-23,23.95,74.53005157,0,,,,,,,63,63,8