,cities,lon,lat
1,Puebla,-98.1984744,19.0437227
2,Iztapalapa,-99.0560877,19.3449734
3,Leon,-101.6825081,21.1218598
4,Gustavo A Madero,-99.1222529,19.4911051
5,Mexicali,-115.448325,32.6248622
6,Ecatepec de Morelos,-99.0340962,19.5868005
7,Tlalpan,-99.1670508,19.2884203
8,Monterrey,-100.3152586,25.6802019
9,Merida,-89.6237402,20.9670759
10,Alvaro Obregon,-99.2255753,19.3652982
11,Veracruz,-96.135648,19.1798858
12,Coyoacan,-99.1623319,19.3500942
13,Nezahualcoyotl,-99.0170173,19.4021151
14,Xochimilco,-99.1033663,19.2634938
15,Guadalajara,-103.3383962,20.6720375
16,Culiacan,-107.393395,24.7978965
17,Azcapotzalco,-99.1844166,19.4837824
18,Cuauhtemoc,-99.1502682,19.4376896
19,Toluca,-99.6569007,19.292545
20,Reynosa,-98.2963932,26.0704018
21,Tijuana,-116.9646629,32.5010188
22,Iztacalco,-99.0965875,19.3962535
23,Juarez,-106.4204625,31.6863561
24,Matamoros,-97.5017951,25.8520977
25,Guadalupe,-100.2151753,25.6751114