date,med_temp,med_hum,pm25,o3,home,work,transit,parks,grocery,retail
2020-02-15,11,87.8009252568786,65,41,-1,3,8,8,4,7
2020-02-16,11,87.469275478122,57,43,-1,1,5,10,5,11
2020-02-17,11.6666666666667,96.9293154135934,62,40,-2,9,3,7,5,7
2020-02-18,12,93.6226138305254,73,40,-2,10,3,9,1,0
2020-02-19,13,87.7742301019844,76,37,-2,8,1,2,0,1
2020-02-20,11.5,93.6453203589813,65,39,-2,8,-1,3,0,0
2020-02-21,16,55.0082110345886,65,36,-3,10,3,11,4,3
2020-02-22,14,82.2856797073903,66,33,2,1,-2,2,-3,-2
2020-02-23,13,87.6896910246721,37,35,0,2,0,10,2,4
2020-02-24,11,93.5765449060625,45,32,-2,12,-2,6,1,-1
2020-02-25,12.5,87.598573807708,49,36,-2,10,-2,20,1,-1
2020-02-26,20,11.3118786711469,57,37,-2,9,-1,3,0,0
2020-02-27,18,14.1448812762116,NaN,32,-2,9,0,3,2,2
2020-02-28,22,12.4627004765007,NaN,33,-3,11,6,10,8,6
2020-02-29,16.5,33.4451062090213,NaN,35,-2,5,6,8,7,5
2020-03-01,13,71.88663496032,39,37,1,2,-4,-10,3,3
2020-03-02,10,87.5170617782344,33,28,0,9,-10,-10,0,-2
2020-03-03,11,82.0479264748835,19,34,-3,12,-3,9,7,5
2020-03-04,13,76.2629672200824,30,32,-2,11,-3,5,6,4
2020-03-05,12.5,87.7742301019844,57,36,-3,10,-3,7,5,4
2020-03-06,13,93.7569406162309,52,34,-3,9,4,12,6,3
2020-03-07,13,76.876854645991,50,34,-1,5,-1,7,4,2
2020-03-08,13,87.7742301019844,28,29,0,4,-2,6,3,6
2020-03-09,12,77.0254286471061,11,27,4,-9,-6,-7,-2,-7
2020-03-10,16.8333333333333,83.6859323317197,24,18,6,-6,-8,-31,-9,-13
2020-03-11,16.5,85.1874281303771,20,26,-1,9,0,-5,5,2
2020-03-12,14,93.8004679355337,18,36,2,4,-3,-22,3,-3
2020-03-13,13.5,93.6680268874372,26,26,1,5,2,-12,8,1
2020-03-14,14,87.8576176759368,14,32,1,3,-7,-5,9,0
2020-03-15,13,87.6896910246721,17,31,1,3,-8,-2,6,-1
2020-03-16,13,82.1675927570865,23,31,13,-49,-16,-3,5,-11
2020-03-17,13,76.8016069286173,27,37,0,5,-2,-5,14,-3
2020-03-18,10,87.5170617782344,11,33,10,-14,-15,-35,1,-20
2020-03-19,10.5,81.8037279834054,18,28,10,-16,-24,-27,0,-21
2020-03-20,11.5,81.9266490914186,18,31,10,-14,-27,-22,4,-23
2020-03-21,12,87.6896910246721,14,36,10,-7,-35,-31,-6,-31
2020-03-22,12,87.6468337452682,25,30,9,-11,-40,-38,-13,-37
2020-03-23,15,83.4306512900977,24,34,12,-21,-38,-31,-13,-31
2020-03-24,16,67.9609087860558,9,34,13,-24,-43,-27,-11,-33
2020-03-25,13,76.876854645991,11,36,15,-28,-45,-36,-14,-36
2020-03-26,13,60.8132793532946,6,35,16,-30,-45,-38,-15,-38
2020-03-27,10,76.4194541780186,8,38,16,-29,-50,-32,-9,-37
2020-03-28,14,62.9671787790499,12,38,14,-20,-52,-39,-12,-40
2020-03-29,15,65.4931464709757,30,39,13,-23,-56,-45,-17,-44
2020-03-30,16.5,68.1499349749098,34,30,14,-30,-47,-30,-8,-34
2020-03-31,17,72.7413674762669,34,23,17,-35,-48,-38,-17,-43
2020-04-01,17.5,72.6579650382221,55,35,18,-37,-49,-38,-14,-42
2020-04-02,16.5,70.1833165468613,68,35,18,-39,-50,-39,-8,-51
2020-04-03,16,65.6951322450291,41,37,19,-37,-51,-34,-1,-58
2020-04-04,16.5,65.7834327608654,44,33,17,-29,-54,-45,-7,-61
2020-04-05,15,67.5761485295562,39,32,15,-31,-55,-52,-15,-65
2020-04-06,15,72.0617987822661,21,27,19,-42,-55,-40,-12,-59
2020-04-07,15,87.9398770779913,12,27,21,-45,-58,-46,-18,-61
2020-04-08,13,72.2348156476821,12,31,22,-48,-58,-47,-14,-59
2020-04-09,14,72.1483072149741,13,32,24,-56,-61,-45,-11,-61
2020-04-10,12,100,8,33,34,-70,-74,-64,-33,-76
2020-04-11,14.5,74.7889209094549,11,37,22,-49,-67,-54,-17,-66
2020-04-12,15,77.2445370727518,16,33,17,-38,-64,-59,-25,-69
2020-04-13,14,87.7742301019844,13,30,22,-48,-60,-44,-17,-60
2020-04-14,17,77.7407165737864,11,36,23,-50,-60,-39,-14,-59
2020-04-15,21,38.0381564329044,29,44,23,-51,-60,-41,-13,-56
2020-04-16,20.5,43.5720750593266,43,42,24,-52,-62,-39,-13,-55
2020-04-17,16,72.4057243076668,41,33,26,-52,-63,-42,-12,-58
2020-04-18,16,67.7696595335769,38,32,20,-39,-65,-52,-23,-63
2020-04-19,16,72.4057243076668,9,33,17,-36,-64,-59,-30,-66
2020-04-20,16,77.3169566342607,15,32,23,-51,-60,-42,-22,-58
2020-04-21,17,72.7413674762669,22,34,24,-53,-63,-46,-24,-60
2020-04-22,22.5,54.9975729648237,27,40,24,-53,-63,-44,-21,-59
2020-04-23,26,41.9721737233185,47,49,24,-54,-62,-43,-20,-59
2020-04-24,25,50.5309410235647,60,54,25,-51,-61,-41,-16,-59
2020-04-25,26,52.3370080833779,54,57,20,-39,-66,-49,-20,-62
2020-04-26,27.5,39.679523784585,66,44,16,-36,-65,-56,-26,-65
2020-04-27,24,60.8084936113681,48,36,23,-49,-61,-41,-20,-57
2020-04-28,22.5,64.8208674490189,50,37,15,-51,-64,-39,-21,-58
2020-04-29,20,77.8784936168726,50,39,23,-52,-63,-42,-18,-56
2020-04-30,19,82.8534800267502,53,43,21,-51,-56,-35,-6,-48
2020-05-01,21,72.0000495227077,63,47,28,-64,-67,-39,-15,-61
2020-05-02,22,64.5243824313096,59,42,19,-39,-63,-46,-18,-60
2020-05-03,21,66.5727019540853,59,30,16,-31,-65,-54,-25,-63
2020-05-04,22.6666666666667,58.9118180563072,49,36,20,-45,-58,-34,-16,-54
2020-05-05,25.5,52.4534423658598,49,46,21,-46,-61,-33,-16,-54
2020-05-06,29,37.3401349278041,62,61,21,-45,-60,-37,-15,-54
2020-05-07,27.1666666666667,39.4226099367152,69,60,21,-46,-58,-34,-12,-53
2020-05-08,24,57.2390837841855,80,43,22,-43,-58,-31,-9,-52
2020-05-09,22,68.884553356274,78,38,17,-30,-60,-40,-8,-52
2020-05-10,20,75.5542159782784,58,33,12,-19,-64,-48,-14,-55
2020-05-11,20,64.3241724469097,50,40,19,-41,-57,-34,-16,-53
2020-05-12,19,60.3806648453332,39,35,20,-42,-58,-33,-14,-52
2020-05-13,18.5,59.9424695369325,28,36,21,-42,-61,-35,-15,-52
2020-05-14,20,60.5957095730801,19,30,20,-43,-58,-35,-14,-51
2020-05-15,21.5,60.7021015922241,33,31,21,-41,-55,-31,-8,-50
2020-05-16,22,66.7624583898432,44,40,17,-28,-58,-41,-12,-53
2020-05-17,21,65.983973279157,48,36,14,-23,-60,-49,-18,-57
2020-05-18,20.5,67.2044905140238,52,26,18,-38,-56,-34,-13,-50
2020-05-19,19,57.7967295767107,23,32,19,-39,-56,-35,-13,-50
2020-05-20,20,59.7216145062422,20,34,19,-40,-55,-37,-11,-49
2020-05-21,21.5,60.4881872092066,27,40,20,-40,-55,-36,-10,-49
2020-05-22,21,60.4881872092066,46,36,20,-37,-54,-36,-8,-51
2020-05-23,19,62.8418709655462,53,38,16,-24,-56,-45,-10,-52
2020-05-24,20.5,68.6127589927181,44,38,14,-22,-58,-50,-16,-56
2020-05-25,22,66.8527104026465,45,38,19,-39,-53,-36,-10,-48
2020-05-26,24.5,57.4607819598728,46,41,18,-37,-54,-37,-13,-51
2020-05-27,24,59.1346377856204,46,40,19,-38,-56,-40,-14,-51
2020-05-28,21,73.2299383396842,38,29,19,-38,-54,-40,-11,-49
2020-05-29,20,75.4048685369924,26,27,20,-36,-53,-36,-5,-49
2020-05-30,20.5,64.2235152846019,37,27,14,-19,-50,-44,-6,-50
2020-05-31,21,64.6239352534018,17,26,13,-16,-54,-48,-12,-54
2020-06-01,23,59.0237886977768,26,37,16,-32,-43,-36,-9,-47
2020-06-02,22.5,66.8527104026465,40,34,17,-34,-43,-35,-9,-47
2020-06-03,26,51.0084023739423,60,45,18,-35,-44,-37,-9,-47
2020-06-04,22,64.8208674490189,61,35,18,-35,-44,-36,-8,-46
2020-06-05,20.5,62.1934199261124,54,25,18,-33,-44,-33,-4,-46
2020-06-06,19,70.7138218401073,30,25,14,-18,-43,-42,-6,-48
2020-06-07,21,64.4248296092174,17,29,12,-16,-45,-44,-11,-51
2020-06-08,23.5,45.7216356635259,23,47,15,-30,-44,-33,-9,-45
2020-06-09,32,5.70731316537415,42,40,16,-32,-45,-33,-10,-47
2020-06-10,30,14.1189308479465,49,81,17,-33,-45,-34,-8,-45
2020-06-11,27,32.2040958329729,86,53,17,-33,-45,-31,-7,-44
2020-06-12,21,64.4248296092174,81,31,17,-31,-41,-29,-1,-44
2020-06-13,21,60.4881872092066,52,32,12,-15,-42,-34,-3,-45
2020-06-14,22.5,54.9954426790506,42,31,11,-12,-40,-38,-9,-48
2020-06-15,21,64.6239352534018,47,31,14,-29,-40,-29,-6,-41
2020-06-16,21,64.4248296092174,48,27,15,-30,-38,-27,-5,-41
2020-06-17,21,64.3241724469097,47,30,16,-31,-40,-28,-6,-40
2020-06-18,20,60.1633245676228,38,33,15,-32,-39,-27,-4,-40
2020-06-19,20.5,64.3241724469097,46,36,14,-29,-35,-23,2,-40
2020-06-20,18.5,77.670969737085,39,31,11,-12,-33,-33,2,-41
2020-06-21,19.5,77.8096050953295,26,35,8,-4,-42,-39,-6,-48
2020-06-22,22,68.884553356274,29,39,14,-31,-37,-28,-8,-42
2020-06-23,21,73.0690205001984,41,36,15,-31,-39,-26,-6,-41
2020-06-24,19.5,80.3106674120316,35,34,15,-31,-39,-27,-7,-41
2020-06-25,20,77.7407165737864,25,39,15,-31,-40,-25,-6,-40
2020-06-26,22,64.6239352534018,37,38,15,-29,-38,-23,-1,-41
2020-06-27,22,66.8527104026465,31,31,11,-14,-34,-30,-4,-43
2020-06-28,21,68.7040493306675,26,27,10,-9,-37,-33,-10,-46
2020-06-29,17,88.1011015877247,18,26,14,-29,-41,-28,-7,-39
2020-06-30,20.5,68.2433554533388,19,33,13,-29,-40,-22,-3,-36
2020-07-01,21,68.7030110055214,33,38,14,-31,-36,-24,-4,-35
2020-07-02,22,62.6098224132409,42,38,14,-31,-30,-20,-2,-35
2020-07-03,24,61.0190511556517,46,38,14,-30,-26,-18,5,-35
2020-07-04,25,61.4336203050474,47,35,11,-14,-32,-30,-3,-41
2020-07-05,27,44.8474512122017,46,37,9,-10,-35,-34,-9,-45
2020-07-06,27,51.9321565440715,56,39,13,-30,-35,-23,-5,-38
2020-07-07,26,57.6802689560102,67,37,13,-31,-37,-21,-4,-37
2020-07-08,24,61.0190511556517,65,33,14,-30,-38,-22,-6,-37
2020-07-09,23,61.0190511556517,61,39,14,-31,-36,-21,-4,-37
2020-07-10,26.3333333333333,58.417520068601,48,47,14,-29,-35,-19,0,-38
2020-07-11,27.5,58.1127343408528,58,41,10,-13,-33,-28,-2,-40
2020-07-12,28.5,46.8834820036507,46,41,9,-11,-33,-32,-9,-43
2020-07-13,27,57.6802689560102,46,32,12,-29,-38,-22,-6,-37
2020-07-14,24,65.0156607082207,53,31,13,-30,-38,-20,-4,-36
2020-07-15,22.5,62.9199593023353,45,35,13,-30,-38,-20,-1,-32
2020-07-16,22.5,66.8527104026465,35,33,13,-30,-36,-21,-1,-33
2020-07-17,24,65.0156607082207,32,33,13,-29,-36,-19,2,-35
2020-07-18,24.5,63.1215382294937,28,35,9,-12,-31,-25,0,-37
2020-07-19,24.5,65.1120047745209,31,33,8,-10,-33,-26,-6,-40
2020-07-20,23,61.0190511556517,31,30,12,-29,-37,-20,-4,-34
2020-07-21,21.5,68.7943013434707,36,32,13,-30,-39,-18,-3,-34
2020-07-22,21.5,73.2299383396842,39,35,13,-29,-39,-21,-5,-34
2020-07-23,21,68.7040493306675,39,35,13,-29,-37,-18,-3,-34
2020-07-24,22,64.5243824313096,29,30,13,-27,-38,-17,2,-35
2020-07-25,23,64.8208674490189,34,36,9,-12,-35,-20,1,-36
2020-07-26,23,69.1512422887479,27,37,8,-9,-35,-20,-6,-38
2020-07-27,22.5,69.2023114504402,40,33,12,-29,-36,-19,-4,-34
2020-07-28,22.5,68.884553356274,44,32,12,-29,-39,-17,-3,-33
2020-07-29,22,73.2299383396842,44,33,13,-30,-38,-18,-4,-30
2020-07-30,24.5,63.1215382294937,45,37,12,-30,-35,-16,-1,-28
2020-07-31,27,57.8975761422822,44,36,12,-28,-32,-13,5,-28
2020-08-01,27,57.8975761422822,56,33,8,-12,-23,-18,2,-30
2020-08-02,26,61.4336203050474,61,36,7,-11,-22,-19,-5,-32
